v,count
295,34185
296,34510
297,34657
298,34820
299,34916
300,34964
301,35110
302,35401
303,35605
304,35721
305,35909
306,36115
307,36241
308,36267
309,36280
310,36377
311,36637
312,36758
313,36820
314,36836
315,36939
316,37199
317,37345
318,37399
319,37474
320,37798
321,37964
322,38142
323,38191
324,38273
325,38533
326,38643
327,38726
328,38759
329,39044
330,39127
331,39180
332,39234
333,39453
334,39559
335,39612
336,39647
337,39983
338,40196
339,40326
340,40462
341,40626
342,40868
343,41038
344,41131
345,41213
346,41385
347,41578
348,41712
349,41845
350,42042
351,42143
352,42167
353,42198
354,42348
355,42525
356,42798
357,42947
358,43136
359,43175
360,43249
361,43526
362,43681
363,43827
364,43944
365,44115
366,44227
367,44278
368,44291
369,44372
370,44575
371,44693
372,44732
373,44766
374,45034
375,45192
376,45336
377,45434
378,45477
379,45764
380,45864
381,45961
382,46009
383,46084
384,46374
385,46502
386,46537
387,46709
388,46848
389,46927
390,46944
391,47206
392,47325
393,47476
394,47640
395,47866
396,48057
397,48156
398,48169
399,48367
400,48534
401,48638
402,48755
403,48939
404,49042
405,49060
406,49249
407,49353
408,49408
409,49436
410,49641
411,49871
412,49994
413,50096
414,50210
415,50392
416,50480
417,50601
418,50658
419,50730
420,50991
421,51129
422,51176
423,51276
424,51416
425,51491
426,51671
427,51850
428,51988
429,52038
430,52085
431,52349
432,52494
433,52632
434,52650
435,52882
436,53062
437,53174
438,53198
439,53312
440,53528
441,53621
442,53648
443,53811
444,54018
445,54198
446,54263
447,54344
448,54703
449,54894
450,55024
451,55083
452,55113
453,55408
454,55580
455,55682
456,55780
457,55987
458,56114
459,56143
460,56266
461,56497
462,56662
463,56679
464,56692
465,56860
466,57191
467,57338
468,57409
469,57455
470,57700
471,57853
472,57951
473,57974
474,58027
475,58227
476,58357
477,58448
478,58698
479,58839
480,58941
481,59148
482,59312
483,59438
484,59486
485,59533
486,59774
487,59994
488,60110
489,60250
490,60317
491,60558
492,60698
493,60822
494,60834
495,60920
496,61069
497,61170
498,61220
499,61293
500,61514
501,61693
502,61798
503,61917
504,62158
505,62308
506,62422
507,62493
508,62511
509,62705
510,62885
511,63001
512,63053
513,63313
514,63426
515,63465
516,63666
517,63790
518,63883
519,64009
520,64303
521,64458
522,64557
523,64686
524,64742
525,65021
526,65148
527,65271
528,65314
529,65362
530,65592
531,65673
532,65724
533,65901
534,66008
535,66110
536,66149
537,66216
538,66443
539,66591
540,66718
541,66844
542,66857
543,67082
544,67208
545,67332
546,67355
547,67385
548,67689
549,67827
550,67869
551,68149
552,68242
553,68317
554,68533
555,68725
556,68865
557,68968
558,69005
559,69262
560,69388
561,69493
562,69578
563,69660
564,69885
565,70026
566,70102
567,70170
568,70400
569,70526
570,70580
571,70621
572,70881
573,71040
574,71212
575,71242
576,71298
577,71467
578,71662
579,71770
580,71834
581,72048
582,72169
583,72247
584,72391
585,72637
586,72760
587,72808
588,72868
589,73063
590,73212
591,73328
592,73365
593,73551
594,73794
595,73940
596,74064
597,74098
598,74174
599,74475
600,74598
601,74773
602,74956
603,75078
604,75161
605,75345
606,75443
607,75570
608,75606
609,75721
610,75966
611,76069
612,76288
613,76413
614,76535
615,76797
616,76913
617,77010
618,77023
619,77152
620,77341
621,77414
622,77459
623,77674
624,77806
625,77923
626,77988
627,78082
628,78361
629,78478
630,78603
631,78654
632,78730
633,78955
634,79119
635,79231
636,79350
637,79553
638,79682
639,79702
640,79797
641,79972
642,80062
643,80219
644,80420
645,80577
646,80715
647,80866
648,81096
649,81285
650,81381
651,81441
652,81489
653,81684
654,81809
655,81916
656,81952
657,82035
658,82231
659,82317
660,82355
661,82464
662,82673
663,82804
664,82930
665,82965
666,83121
667,83261
668,83355
669,83466
670,83608
671,83773
672,83897
673,83961
674,83984
675,84197
676,84295
677,84365
678,84578
679,84700
680,84789
681,85079
682,85222
683,85333
684,85400
685,85423
686,85595
687,85770
688,85905
689,85937
690,85993
691,86258
692,86374
693,86435
694,86541
695,86695
696,86780
697,86806
698,86908
699,87069
700,87235
701,87300
702,87312
703,87532
704,87754
705,87938
706,88072
707,88085
708,88139
709,88318
710,88520
711,88604
712,88630
713,88771
714,88916
715,89016
716,89035
717,89139
718,89331
719,89428
720,89484
721,89588
722,89800
723,89936
724,90040
725,90108
726,90211
727,90408
728,90564
729,90652
730,90705
731,90749
732,90978
733,91044
734,91142
735,91325
736,91519
737,91649
738,91750
739,91865
740,92131
741,92285
742,92417
743,92500
744,92528
745,92704
746,92880
747,93018
748,93107
749,93356
750,93493
751,93530
752,93558
753,93760
754,93885
755,93976
756,94145
757,94368
758,94489
759,94654
760,94762
761,94871
762,95080
763,95203
764,95272
765,95477
766,95633
767,95700
768,95918
769,96025
770,96142
771,96212
772,96254
773,96485
774,96653
775,96770
776,96890
777,96903
778,96984
779,97176
780,97235
781,97281
782,97295
783,97349
784,97366
785,97379
786,97393
787,97426
788,97454
789,97504
790,97517
791,97531
792,97544
793,97557
794,97570
795,97583
796,97596
797,97613
798,97629
799,97648
800,97695
801,97823
802,98216
803,98328
804,98404
805,98422
806,98590
807,98733
808,98856
809,98869
810,99039
811,99209
812,99305
813,99525
814,99766
815,99945
816,100074
817,100095
818,100104
819,100174
820,100410
821,100536
822,100640
823,100705
824,100724
825,100920
826,101085
827,101177
828,101202
829,101325
830,101481
831,101626
832,101674
833,101683
834,101773
835,101986
836,102147
837,102245
838,102408
839,102587
840,102718
841,102832
842,102891
843,103037
844,103205
845,103315
846,103365
847,103374
848,103564
849,103676
850,103765
851,103900
852,104072
853,104201
854,104354
855,104369
856,104442
857,104613
858,104878
859,104950
860,105078
861,105145
862,105311
863,105433
864,105489
865,105580
866,105681
867,105736
868,105822
869,106025
870,106197
871,106300
872,106354
873,106388
874,106639
875,106796
876,106900
877,106998
878,107075
879,107227
880,107311
881,107372
882,107395
883,107593
884,107688
885,107800
886,107970
887,108123
888,108246
889,108343
890,108394
891,108527
892,108693
893,108819
894,108921
895,109018
896,109186
897,109337
898,109395
899,109588
900,109673
901,109768
902,109965
903,110086
904,110215
905,110365
906,110403
907,110625
908,110739
909,110828
910,110856
911,110995
912,111128
913,111231
914,111273
915,111327
916,111508
917,111557
918,111614
919,111652
920,111909
921,112058
922,112183
923,112258
924,112496
925,112621
926,112735
927,112794
928,112822
929,112991
930,113171
931,113275
932,113344
933,113507
934,113585
935,113640
936,113875
937,113990
938,114080
939,114206
940,114423
941,114550
942,114638
943,114707
944,114839
945,114989
946,115103
947,115158
948,115176
949,115358
950,115417
951,115450
952,115480
953,115617
954,115692
955,115771
956,115892
957,116125
958,116221
959,116347
960,116420
961,116481
962,116653
963,116762
964,116855
965,116906
966,117086
967,117160
968,117218
969,117233
970,117285
971,117412
972,117508
973,117598
974,117653
975,117871
976,117967
977,118086
978,118254
979,118269
980,118290
981,118387
982,118567
983,118650
984,118736
985,118822
986,118965
987,119026
988,119047
989,119105
990,119300
991,119403
992,119562
993,119600
994,119726
995,119887
996,120005
997,120099
998,120122
999,120172
1000,120308
1001,120430
1002,120504
1003,120584
1004,120712
1005,120778
1006,120795
1007,120830
1008,121005
1009,121119
1010,121249
1011,121304
1012,121471
1013,121607
1014,121727
1015,121785
1016,121858
1017,121979
1018,122086
1019,122136
1020,122258
1021,122398
1022,122485
1023,122626
1024,122760
1025,122857
1026,122903
1027,122931
1028,122948
1029,123014
1030,123090
1031,123182
1032,123384
1033,123508
1034,123535
1035,123584
1036,123775
1037,123895
1038,123993
1039,124060
1040,124082
1041,124239
1042,124347
1043,124402
1044,124432
1045,124462
1046,124579
1047,124676
1048,124761
1049,124829
1050,124967
1051,125051
1052,125095
1053,125121
1054,125268
1055,125505
1056,125635
1057,125788
1058,125853
1059,126063
1060,126141
1061,126232
1062,126264
1063,126285
1064,126420
1065,126580
1066,126628
1067,126650
1068,126720
1069,126881
1070,126988
1071,127040
1072,127203
1073,127420
1074,127560
1075,127681
1076,127758
1077,127953
1078,128060
1079,128161
1080,128246
1081,128285
1082,128459
1083,128565
1084,128623
1085,128728
1086,128972
1087,129051
1088,129068
1089,129121
1090,129303
1091,129397
1092,129512
1093,129593
1094,129686
1095,129871
1096,129956
1097,130082
1098,130099
1099,130146
1100,130332
1101,130441
1102,130492
1103,130587
1104,130722
1105,130787
1106,130922
1107,131112
1108,131220
1109,131358
1110,131421
1111,131447
1112,131591
1113,131742
1114,131819
1115,131884
1116,132050
1117,132151
1118,132206
1119,132223
1120,132316
1121,132456
1122,132540
1123,132559
1124,132623
1125,132809
1126,132926
1127,133002
1128,133044
1129,133078
1130,133240
1131,133397
1132,133433
1133,133472
1134,133588
1135,133767
1136,133889
1137,133920
1138,133968
1139,134134
1140,134198
1141,134215
1142,134272
1143,134449
1144,134541
1145,134645
1146,134752
1147,134895
1148,135014
1149,135030
1150,135047
1151,135215
1152,135358
1153,135440
1154,135474
1155,135492
1156,135618
1157,135781
1158,135872
1159,135889
1160,135967
1161,136174
1162,136249
1163,136356
1164,136387
1165,136593
1166,136741
1167,136797
1168,136839
1169,136928
1170,137027
1171,137116
1172,137161
1173,137270
1174,137356
1175,137422
1176,137509
1177,137673
1178,137787
1179,137837
1180,137854
1181,138148
1182,138287
1183,138356
1184,138418
1185,138544
1186,138624
1187,138700
1188,138742
1189,138911
1190,139028
1191,139087
1192,139158
1193,139328
1194,139419
1195,139510
1196,139664
1197,139688
1198,139853
1199,140033
1200,140104
1201,140192
1202,140224
1203,140251
1204,140395
1205,140559
1206,140659
1207,140676
1208,140819
1209,140916
1210,140948
1211,141056
1212,141196
1213,141258
1214,141345
1215,141377
1216,141498
1217,141708
1218,141804
1219,141844
1220,141946
1221,142108
1222,142163
1223,142214
1224,142323
1225,142411
1226,142484
1227,142577
1228,142778
1229,142895
1230,142971
1231,143014
1232,143048
1233,143162
1234,143344
1235,143470
1236,143521
1237,143599
1238,143757
1239,143846
1240,143977
1241,144091
1242,144173
1243,144276
1244,144331
1245,144541
1246,144618
1247,144689
1248,144748
1249,144818
1250,144952
1251,145019
1252,145082
1253,145140
1254,145272
1255,145326
1256,145389
1257,145421
1258,145578
1259,145703
1260,145772
1261,145874
1262,146005
1263,146107
1264,146213
1265,146229
1266,146246
1267,146379
1268,146486
1269,146538
1270,146593
1271,146719
1272,146827
1273,146872
1274,146980
1275,147018
1276,147165
1277,147289
1278,147335
1279,147395
1280,147450
1281,147618
1282,147720
1283,147789
1284,147830
1285,147972
1286,148056
1287,148100
1288,148146
1289,148271
1290,148331
1291,148415
1292,148551
1293,148670
1294,148741
1295,148799
1296,149025
1297,149133
1298,149193
1299,149274
1300,149286
